run_id;first_var;time_s;crit1;crit2;crit_total;max_memory_mb;order_str;variable_order
409;x4;1.5759181000000808;94;52;146;70.390625;x4_x3_x5_x1_x2_x6;['x4', 'x3', 'x5', 'x1', 'x2', 'x6']
410;x3;1.7860544999998638;109;58;167;70.390625;x3_x1_x4_x2_x6_x5;['x3', 'x1', 'x4', 'x2', 'x6', 'x5']
411;x2;1.856532199999947;109;55;164;70.390625;x2_x3_x4_x5_x6_x1;['x2', 'x3', 'x4', 'x5', 'x6', 'x1']
412;x1;7.016081900000017;199;150;349;70.40625;x1_x6_x4_x2_x3_x5;['x1', 'x6', 'x4', 'x2', 'x3', 'x5']
413;x2;1.8522836000001917;109;53;162;70.40625;x2_x5_x4_x3_x6_x1;['x2', 'x5', 'x4', 'x3', 'x6', 'x1']
414;x5;1.877096100000017;109;52;161;70.15625;x5_x4_x2_x3_x6_x1;['x5', 'x4', 'x2', 'x3', 'x6', 'x1']
415;x5;3.275720099999944;180;99;279;70.15625;x5_x3_x6_x1_x2_x4;['x5', 'x3', 'x6', 'x1', 'x2', 'x4']
416;x4;2.841205299999956;116;56;172;72.86328125;x4_x3_x1_x6_x2_x5;['x4', 'x3', 'x1', 'x6', 'x2', 'x5']
417;x6;10.307220899999948;198;147;345;72.8671875;x6_x3_x4_x5_x2_x1;['x6', 'x3', 'x4', 'x5', 'x2', 'x1']
418;x1;3.230195800000047;180;98;278;69.66015625;x1_x5_x6_x2_x4_x3;['x1', 'x5', 'x6', 'x2', 'x4', 'x3']
419;x6;8.132134599999972;199;147;346;69.66015625;x6_x4_x5_x3_x1_x2;['x6', 'x4', 'x5', 'x3', 'x1', 'x2']
420;x1;7.464495700000043;199;150;349;68.25;x1_x6_x4_x3_x5_x2;['x1', 'x6', 'x4', 'x3', 'x5', 'x2']
421;x5;1.6020652000001974;94;54;148;68.25;x5_x3_x2_x4_x1_x6;['x5', 'x3', 'x2', 'x4', 'x1', 'x6']
422;x4;8.477991400000064;201;151;352;68.3203125;x4_x6_x2_x5_x1_x3;['x4', 'x6', 'x2', 'x5', 'x1', 'x3']
423;x2;2.984160799999927;180;103;283;68.3203125;x2_x1_x6_x5_x4_x3;['x2', 'x1', 'x6', 'x5', 'x4', 'x3']
424;x4;2.330379100000073;116;56;172;71.171875;x4_x3_x1_x6_x5_x2;['x4', 'x3', 'x1', 'x6', 'x5', 'x2']
425;x5;2.967659299999923;180;105;285;71.171875;x5_x1_x6_x3_x4_x2;['x5', 'x1', 'x6', 'x3', 'x4', 'x2']
426;x6;7.5889700000000175;198;149;347;68.12109375;x6_x4_x1_x3_x2_x5;['x6', 'x4', 'x1', 'x3', 'x2', 'x5']
427;x2;2.672752500000115;116;51;167;70.7109375;x2_x4_x3_x6_x1_x5;['x2', 'x4', 'x3', 'x6', 'x1', 'x5']
428;x3;4.684629800000039;156;104;260;70.7109375;x3_x1_x6_x2_x5_x4;['x3', 'x1', 'x6', 'x2', 'x5', 'x4']
429;x5;2.0277931999999055;109;53;162;69.36328125;x5_x1_x3_x4_x6_x2;['x5', 'x1', 'x3', 'x4', 'x6', 'x2']
430;x1;2.7880740999999034;116;52;168;70.43359375;x1_x5_x3_x6_x4_x2;['x1', 'x5', 'x3', 'x6', 'x4', 'x2']
431;x2;1.7000353000000814;94;48;142;70.4375;x2_x3_x1_x5_x4_x6;['x2', 'x3', 'x1', 'x5', 'x4', 'x6']
432;x3;3.175305900000012;180;93;273;69.046875;x3_x4_x6_x2_x1_x5;['x3', 'x4', 'x6', 'x2', 'x1', 'x5']
433;x2;2.4623563999998623;116;54;170;70.8828125;x2_x5_x4_x6_x3_x1;['x2', 'x5', 'x4', 'x6', 'x3', 'x1']
434;x6;7.787958200000048;199;143;342;70.89453125;x6_x3_x1_x4_x5_x2;['x6', 'x3', 'x1', 'x4', 'x5', 'x2']
435;x4;7.827264199999945;203;154;357;69.74609375;x4_x6_x2_x3_x1_x5;['x4', 'x6', 'x2', 'x3', 'x1', 'x5']
436;x5;2.496332200000097;116;53;169;70.9609375;x5_x3_x1_x6_x4_x2;['x5', 'x3', 'x1', 'x6', 'x4', 'x2']
437;x4;2.9482514999999694;180;103;283;70.96484375;x4_x1_x6_x3_x5_x2;['x4', 'x1', 'x6', 'x3', 'x5', 'x2']
438;x3;1.5988620999999057;94;50;144;68.99609375;x3_x1_x5_x2_x4_x6;['x3', 'x1', 'x5', 'x2', 'x4', 'x6']
439;x1;2.452071700000033;116;54;170;71.59765625;x1_x2_x4_x6_x5_x3;['x1', 'x2', 'x4', 'x6', 'x5', 'x3']
440;x4;7.395570200000066;199;149;348;71.6015625;x4_x6_x1_x3_x5_x2;['x4', 'x6', 'x1', 'x3', 'x5', 'x2']
441;x6;8.308106599999974;198;152;350;69.38671875;x6_x2_x5_x4_x3_x1;['x6', 'x2', 'x5', 'x4', 'x3', 'x1']
442;x6;8.393360500000199;199;141;340;69.69921875;x6_x1_x4_x3_x2_x5;['x6', 'x1', 'x4', 'x3', 'x2', 'x5']
443;x2;7.890677500000038;203;162;365;69.70703125;x2_x6_x4_x3_x5_x1;['x2', 'x6', 'x4', 'x3', 'x5', 'x1']
444;x4;1.8843418999999813;109;50;159;69.45703125;x4_x1_x2_x3_x6_x5;['x4', 'x1', 'x2', 'x3', 'x6', 'x5']
445;x5;1.8188056999999844;109;55;164;69.45703125;x5_x3_x1_x4_x6_x2;['x5', 'x3', 'x1', 'x4', 'x6', 'x2']
446;x4;7.299962800000003;200;157;357;69.45703125;x4_x6_x5_x3_x2_x1;['x4', 'x6', 'x5', 'x3', 'x2', 'x1']
447;x3;1.6563979000000018;94;51;145;69.4609375;x3_x2_x4_x1_x5_x6;['x3', 'x2', 'x4', 'x1', 'x5', 'x6']
448;x1;1.586706999999933;94;52;146;69.46484375;x1_x5_x4_x2_x3_x6;['x1', 'x5', 'x4', 'x2', 'x3', 'x6']
449;x4;1.6173028999999133;94;51;145;69.46875;x4_x1_x3_x2_x5_x6;['x4', 'x1', 'x3', 'x2', 'x5', 'x6']
