run_id;first_var;order_str;time_s;crit_total;max_memory_mb;leads;variable_order
408;x1;x1_x5_x2_x4_x3_x6;2.3640645999998924;144;69.640625;x1, x5*x6, x3**2, x4*x3, x2*x3, x5*x3, x4**2, x2*x4, x5*x4, x2**2, x5*x2, x5**2, x6**3, x3*x6**2, x4*x6**2, x2*x6**2;['x1', 'x5', 'x2', 'x4', 'x3', 'x6']
409;x5;x5_x4_x3_x6_x1_x2;3.2829235999997763;171;68.70703125;x5, x4*x2, x1**2, x6*x1, x3*x1, x4*x1, x6**2, x3*x6, x4*x6, x3**2, x4*x3, x4**2, x2**3, x1*x2**2, x6*x2**2, x3*x2**2;['x5', 'x4', 'x3', 'x6', 'x1', 'x2']
410;x3;x3_x2_x6_x4_x1_x5;4.453872500000216;280;68.70703125;x3, x2*x5, x1**2, x4*x1, x6*x1, x2*x1, x4**2, x6*x4, x2*x4, x6**2, x2*x6, x2**2, x5**3, x1*x5**2, x4*x5**2, x6*x5**2;['x3', 'x2', 'x6', 'x4', 'x1', 'x5']
411;x3;x3_x1_x2_x5_x4_x6;2.1616060999999718;148;68.11328125;x3, x1*x6, x4**2, x5*x4, x2*x4, x1*x4, x5**2, x2*x5, x1*x5, x2**2, x1*x2, x1**2, x6**3, x4*x6**2, x5*x6**2, x2*x6**2;['x3', 'x1', 'x2', 'x5', 'x4', 'x6']
412;x3;x3_x5_x6_x4_x2_x1;4.344533699999829;277;68.1171875;x3, x5*x1, x2**2, x4*x2, x6*x2, x5*x2, x4**2, x6*x4, x5*x4, x6**2, x5*x6, x5**2, x1**3, x2*x1**2, x4*x1**2, x6*x1**2;['x3', 'x5', 'x6', 'x4', 'x2', 'x1']
413;x3;x3_x1_x4_x2_x6_x5;3.5791870999996718;161;68.1171875;x3, x1*x5, x6**2, x2*x6, x4*x6, x1*x6, x2**2, x4*x2, x1*x2, x4**2, x1*x4, x1**2, x5**3, x6*x5**2, x2*x5**2, x4*x5**2;['x3', 'x1', 'x4', 'x2', 'x6', 'x5']
414;x3;x3_x4_x1_x2_x6_x5;2.7968157999998766;160;68.015625;x3, x4*x5, x6**2, x2*x6, x1*x6, x4*x6, x2**2, x1*x2, x4*x2, x1**2, x4*x1, x4**2, x5**3, x6*x5**2, x2*x5**2, x1*x5**2;['x3', 'x4', 'x1', 'x2', 'x6', 'x5']
415;x3;x3_x4_x1_x2_x5_x6;2.58175940000001;146;68.015625;x3, x4*x6, x5**2, x2*x5, x1*x5, x4*x5, x2**2, x1*x2, x4*x2, x1**2, x4*x1, x4**2, x6**3, x5*x6**2, x2*x6**2, x1*x6**2;['x3', 'x4', 'x1', 'x2', 'x5', 'x6']
416;x5;x5_x6_x3_x2_x1_x4;10.728051699999924;350;68.4375;x5, x6*x4, x1**2, x2*x1, x3*x1, x6*x1, x2**2, x3*x2, x6*x2, x3**2, x6*x3, x6**2, x4**3, x1*x4**2, x2*x4**2, x3*x4**2;['x5', 'x6', 'x3', 'x2', 'x1', 'x4']
417;x1;x1_x2_x6_x3_x4_x5;5.014049299999897;275;68.4375;x1, x2*x5, x4**2, x3*x4, x6*x4, x2*x4, x3**2, x6*x3, x2*x3, x6**2, x2*x6, x2**2, x5**3, x4*x5**2, x3*x5**2, x6*x5**2;['x1', 'x2', 'x6', 'x3', 'x4', 'x5']
418;x1;x1_x5_x3_x4_x6_x2;2.6107488000002377;160;68.1875;x1, x5*x2, x6**2, x4*x6, x3*x6, x5*x6, x4**2, x3*x4, x5*x4, x3**2, x5*x3, x5**2, x2**3, x6*x2**2, x4*x2**2, x3*x2**2;['x1', 'x5', 'x3', 'x4', 'x6', 'x2']
419;x1;x1_x6_x4_x2_x3_x5;9.895533800000067;346;68.5078125;x1, x6*x5, x3**2, x2*x3, x4*x3, x6*x3, x2**2, x4*x2, x6*x2, x4**2, x6*x4, x6**2, x5**3, x3*x5**2, x2*x5**2, x4*x5**2;['x1', 'x6', 'x4', 'x2', 'x3', 'x5']
420;x2;x2_x4_x1_x6_x5_x3;3.5973894999997356;171;70.953125;x2, x4*x3, x5**2, x6*x5, x1*x5, x4*x5, x6**2, x1*x6, x4*x6, x1**2, x4*x1, x4**2, x3**3, x5*x3**2, x6*x3**2, x1*x3**2;['x2', 'x4', 'x1', 'x6', 'x5', 'x3']
421;x4;x4_x2_x3_x1_x6_x5;2.495629000000008;162;70.953125;x4, x2*x5, x6**2, x1*x6, x3*x6, x2*x6, x1**2, x3*x1, x2*x1, x3**2, x2*x3, x2**2, x5**3, x6*x5**2, x1*x5**2, x3*x5**2;['x4', 'x2', 'x3', 'x1', 'x6', 'x5']
422;x6;x6_x4_x3_x1_x5_x2;11.207538999999997;350;67.91796875;x4, x6*x2, x5**2, x1*x5, x3*x5, x6*x5, x1**2, x3*x1, x6*x1, x3**2, x6*x3, x6**2, x2**3, x5*x2**2, x1*x2**2, x3*x2**2;['x6', 'x4', 'x3', 'x1', 'x5', 'x2']
423;x3;x3_x2_x4_x6_x5_x1;3.4507057999999233;172;70.73046875;x3, x2*x1, x5**2, x6*x5, x4*x5, x2*x5, x6**2, x4*x6, x2*x6, x4**2, x2*x4, x2**2, x1**3, x5*x1**2, x6*x1**2, x4*x1**2;['x3', 'x2', 'x4', 'x6', 'x5', 'x1']
424;x2;x2_x5_x4_x3_x6_x1;2.582967099999678;162;70.73046875;x2, x5*x1, x6**2, x3*x6, x4*x6, x5*x6, x3**2, x4*x3, x5*x3, x4**2, x5*x4, x5**2, x1**3, x6*x1**2, x3*x1**2, x4*x1**2;['x2', 'x5', 'x4', 'x3', 'x6', 'x1']
425;x1;x1_x5_x3_x4_x2_x6;2.2546274999999696;140;67.85546875;x1, x5*x6, x2**2, x4*x2, x3*x2, x5*x2, x4**2, x3*x4, x5*x4, x3**2, x5*x3, x5**2, x6**3, x2*x6**2, x4*x6**2, x3*x6**2;['x1', 'x5', 'x3', 'x4', 'x2', 'x6']
426;x1;x1_x3_x5_x6_x2_x4;3.814345900000262;169;69.859375;x1, x3*x4, x2**2, x6*x2, x5*x2, x3*x2, x6**2, x5*x6, x3*x6, x5**2, x3*x5, x3**2, x4**3, x2*x4**2, x6*x4**2, x5*x4**2;['x1', 'x3', 'x5', 'x6', 'x2', 'x4']
427;x1;x1_x3_x6_x4_x2_x5;5.896357799999805;262;70.2890625;x1, x3*x5, x2**2, x4*x2, x6*x2, x3*x2, x4**2, x6*x4, x3*x4, x6**2, x3*x6, x3**2, x5**3, x2*x5**2, x4*x5**2, x6*x5**2;['x1', 'x3', 'x6', 'x4', 'x2', 'x5']
428;x2;x2_x3_x5_x6_x1_x4;3.2693186999999853;169;70.625;x2, x3*x4, x1**2, x6*x1, x5*x1, x3*x1, x6**2, x5*x6, x3*x6, x5**2, x3*x5, x3**2, x4**3, x1*x4**2, x6*x4**2, x5*x4**2;['x2', 'x3', 'x5', 'x6', 'x1', 'x4']
429;x2;x2_x4_x6_x3_x5_x1;5.450070800000049;262;70.62890625;x2, x4*x1, x5**2, x3*x5, x6*x5, x4*x5, x3**2, x6*x3, x4*x3, x6**2, x4*x6, x4**2, x1**3, x5*x1**2, x3*x1**2, x6*x1**2;['x2', 'x4', 'x6', 'x3', 'x5', 'x1']
430;x6;x6_x4_x2_x1_x5_x3;10.421308399999816;348;68.984375;x4, x6*x3, x5**2, x1*x5, x2*x5, x6*x5, x1**2, x2*x1, x6*x1, x2**2, x6*x2, x6**2, x3**3, x5*x3**2, x1*x3**2, x2*x3**2;['x6', 'x4', 'x2', 'x1', 'x5', 'x3']
431;x5;x5_x1_x6_x4_x3_x2;5.402768999999807;281;68.98828125;x5, x1*x2, x3**2, x4*x3, x6*x3, x1*x3, x4**2, x6*x4, x1*x4, x6**2, x1*x6, x1**2, x2**3, x3*x2**2, x4*x2**2, x6*x2**2;['x5', 'x1', 'x6', 'x4', 'x3', 'x2']
432;x5;x5_x2_x1_x6_x4_x3;3.5465712000000167;171;71.11328125;x5, x2*x3, x4**2, x6*x4, x1*x4, x2*x4, x6**2, x1*x6, x2*x6, x1**2, x2*x1, x2**2, x3**3, x4*x3**2, x6*x3**2, x1*x3**2;['x5', 'x2', 'x1', 'x6', 'x4', 'x3']
433;x5;x5_x4_x2_x6_x3_x1;3.461587700000109;168;71.11328125;x5, x4*x1, x3**2, x6*x3, x2*x3, x4*x3, x6**2, x2*x6, x4*x6, x2**2, x4*x2, x4**2, x1**3, x3*x1**2, x6*x1**2, x2*x1**2;['x5', 'x4', 'x2', 'x6', 'x3', 'x1']
434;x5;x5_x4_x3_x6_x1_x2;3.190718199999992;167;70.328125;x5, x4*x2, x1**2, x6*x1, x3*x1, x4*x1, x6**2, x3*x6, x4*x6, x3**2, x4*x3, x4**2, x2**3, x1*x2**2, x6*x2**2, x3*x2**2;['x5', 'x4', 'x3', 'x6', 'x1', 'x2']
435;x6;x6_x3_x1_x5_x2_x4;14.953161800000089;348;69.796875;x3, x6*x4, x2**2, x5*x2, x1*x2, x6*x2, x5**2, x1*x5, x6*x5, x1**2, x6*x1, x6**2, x4**3, x2*x4**2, x5*x4**2, x1*x4**2;['x6', 'x3', 'x1', 'x5', 'x2', 'x4']
436;x5;x5_x6_x2_x4_x3_x1;16.15437010000005;345;13.80859375;x5, x6*x1, x3**2, x4*x3, x2*x3, x6*x3, x4**2, x2*x4, x6*x4, x2**2, x6*x2, x6**2, x1**3, x3*x1**2, x4*x1**2, x2*x1**2;['x5', 'x6', 'x2', 'x4', 'x3', 'x1']
437;x1;x1_x5_x3_x2_x6_x4;2.228024500000174;164;13.3046875;x1, x5*x4, x6**2, x2*x6, x3*x6, x5*x6, x2**2, x3*x2, x5*x2, x3**2, x5*x3, x5**2, x4**3, x6*x4**2, x2*x4**2, x3*x4**2;['x1', 'x5', 'x3', 'x2', 'x6', 'x4']
438;x2;x2_x6_x1_x3_x5_x4;12.300449200000003;343;65.125;x2, x6*x4, x5**2, x3*x5, x1*x5, x6*x5, x3**2, x1*x3, x6*x3, x1**2, x6*x1, x6**2, x4**3, x5*x4**2, x3*x4**2, x1*x4**2;['x2', 'x6', 'x1', 'x3', 'x5', 'x4']
439;x1;x1_x2_x4_x5_x3_x6;2.3839388999999755;146;65.12890625;x1, x2*x6, x3**2, x5*x3, x4*x3, x2*x3, x5**2, x4*x5, x2*x5, x4**2, x2*x4, x2**2, x6**3, x3*x6**2, x5*x6**2, x4*x6**2;['x1', 'x2', 'x4', 'x5', 'x3', 'x6']
440;x1;x1_x5_x6_x4_x2_x3;3.8937740999999733;277;64.515625;x1, x5*x3, x2**2, x4*x2, x6*x2, x5*x2, x4**2, x6*x4, x5*x4, x6**2, x5*x6, x5**2, x3**3, x2*x3**2, x4*x3**2, x6*x3**2;['x1', 'x5', 'x6', 'x4', 'x2', 'x3']
441;x4;x4_x2_x6_x5_x3_x1;5.873667800000021;263;69.23046875;x4, x2*x1, x3**2, x5*x3, x6*x3, x2*x3, x5**2, x6*x5, x2*x5, x6**2, x2*x6, x2**2, x1**3, x3*x1**2, x5*x1**2, x6*x1**2;['x4', 'x2', 'x6', 'x5', 'x3', 'x1']
442;x2;x2_x1_x5_x4_x6_x3;2.371005800000148;164;69.23828125;x2, x1*x3, x6**2, x4*x6, x5*x6, x1*x6, x4**2, x5*x4, x1*x4, x5**2, x1*x5, x1**2, x3**3, x6*x3**2, x4*x3**2, x5*x3**2;['x2', 'x1', 'x5', 'x4', 'x6', 'x3']
443;x5;x5_x4_x2_x1_x3_x6;3.3923101000000315;142;41.8046875;x5, x4*x6, x3**2, x1*x3, x2*x3, x4*x3, x1**2, x2*x1, x4*x1, x2**2, x4*x2, x4**2, x6**3, x3*x6**2, x1*x6**2, x2*x6**2;['x5', 'x4', 'x2', 'x1', 'x3', 'x6']
444;x2;x2_x5_x1_x6_x3_x4;3.9889149999999063;168;32.046875;x2, x5*x4, x3**2, x6*x3, x1*x3, x5*x3, x6**2, x1*x6, x5*x6, x1**2, x5*x1, x5**2, x4**3, x3*x4**2, x6*x4**2, x1*x4**2;['x2', 'x5', 'x1', 'x6', 'x3', 'x4']
445;x4;x4_x6_x2_x3_x1_x5;12.76847029999999;351;32.0546875;x4, x6*x5, x1**2, x3*x1, x2*x1, x6*x1, x3**2, x2*x3, x6*x3, x2**2, x6*x2, x6**2, x5**3, x1*x5**2, x3*x5**2, x2*x5**2;['x4', 'x6', 'x2', 'x3', 'x1', 'x5']
446;x4;x4_x6_x5_x2_x1_x3;12.365766400000211;349;65.2890625;x4, x6*x3, x1**2, x2*x1, x5*x1, x6*x1, x2**2, x5*x2, x6*x2, x5**2, x6*x5, x6**2, x3**3, x1*x3**2, x2*x3**2, x5*x3**2;['x4', 'x6', 'x5', 'x2', 'x1', 'x3']
447;x6;x6_x2_x5_x3_x1_x4;11.045763399999942;341;65.37890625;x2, x6*x4, x1**2, x3*x1, x5*x1, x6*x1, x3**2, x5*x3, x6*x3, x5**2, x6*x5, x6**2, x4**3, x1*x4**2, x3*x4**2, x5*x4**2;['x6', 'x2', 'x5', 'x3', 'x1', 'x4']
448;x2;x2_x1_x4_x3_x6_x5;2.5714701000001696;163;65.37890625;x2, x1*x5, x6**2, x3*x6, x4*x6, x1*x6, x3**2, x4*x3, x1*x3, x4**2, x1*x4, x1**2, x5**3, x6*x5**2, x3*x5**2, x4*x5**2;['x2', 'x1', 'x4', 'x3', 'x6', 'x5']
449;x4;x4_x6_x5_x1_x2_x3;11.145659300000261;348;64.89453125;x4, x6*x3, x2**2, x1*x2, x5*x2, x6*x2, x1**2, x5*x1, x6*x1, x5**2, x6*x5, x6**2, x3**3, x2*x3**2, x1*x3**2, x5*x3**2;['x4', 'x6', 'x5', 'x1', 'x2', 'x3']
450;x3;x3_x6_x5_x1_x4_x2;9.724299500000143;351;65.96484375;x3, x6*x2, x4**2, x1*x4, x5*x4, x6*x4, x1**2, x5*x1, x6*x1, x5**2, x6*x5, x6**2, x2**3, x4*x2**2, x1*x2**2, x5*x2**2;['x3', 'x6', 'x5', 'x1', 'x4', 'x2']
451;x4;x4_x1_x6_x3_x5_x2;4.255323399999725;277;65.96875;x4, x1*x2, x5**2, x3*x5, x6*x5, x1*x5, x3**2, x6*x3, x1*x3, x6**2, x1*x6, x1**2, x2**3, x5*x2**2, x3*x2**2, x6*x2**2;['x4', 'x1', 'x6', 'x3', 'x5', 'x2']
452;x6;x6_x5_x2_x1_x3_x4;25.513667199999873;349;65.96875;x5, x6*x4, x3**2, x1*x3, x2*x3, x6*x3, x1**2, x2*x1, x6*x1, x2**2, x6*x2, x6**2, x4**3, x3*x4**2, x1*x4**2, x2*x4**2;['x6', 'x5', 'x2', 'x1', 'x3', 'x4']
453;x3;x3_x1_x6_x5_x4_x2;11.81036979999999;260;16.296875;x3, x1*x2, x4**2, x5*x4, x6*x4, x1*x4, x5**2, x6*x5, x1*x5, x6**2, x1*x6, x1**2, x2**3, x4*x2**2, x5*x2**2, x6*x2**2;['x3', 'x1', 'x6', 'x5', 'x4', 'x2']
454;x2;x2_x4_x5_x6_x3_x1;5.342329199999767;168;18.37109375;x2, x4*x1, x3**2, x6*x3, x5*x3, x4*x3, x6**2, x5*x6, x4*x6, x5**2, x4*x5, x4**2, x1**3, x3*x1**2, x6*x1**2, x5*x1**2;['x2', 'x4', 'x5', 'x6', 'x3', 'x1']
455;x3;x3_x5_x6_x2_x4_x1;5.489042600000175;274;18.3828125;x3, x5*x1, x4**2, x2*x4, x6*x4, x5*x4, x2**2, x6*x2, x5*x2, x6**2, x5*x6, x5**2, x1**3, x4*x1**2, x2*x1**2, x6*x1**2;['x3', 'x5', 'x6', 'x2', 'x4', 'x1']
456;x2;x2_x3_x5_x1_x6_x4;3.970183100000213;162;67.43359375;x2, x3*x4, x6**2, x1*x6, x5*x6, x3*x6, x1**2, x5*x1, x3*x1, x5**2, x3*x5, x3**2, x4**3, x6*x4**2, x1*x4**2, x5*x4**2;['x2', 'x3', 'x5', 'x1', 'x6', 'x4']
457;x2;x2_x1_x6_x4_x5_x3;4.473054600000069;279;67.44140625;x2, x1*x3, x5**2, x4*x5, x6*x5, x1*x5, x4**2, x6*x4, x1*x4, x6**2, x1*x6, x1**2, x3**3, x5*x3**2, x4*x3**2, x6*x3**2;['x2', 'x1', 'x6', 'x4', 'x5', 'x3']
458;x3;x3_x1_x5_x2_x6_x4;2.5684610000002976;160;67.44140625;x3, x1*x4, x6**2, x2*x6, x5*x6, x1*x6, x2**2, x5*x2, x1*x2, x5**2, x1*x5, x1**2, x4**3, x6*x4**2, x2*x4**2, x5*x4**2;['x3', 'x1', 'x5', 'x2', 'x6', 'x4']
